RECNUMB,SN,SENSE,INITTF,NOMLEX1TF,NOMLEX2TF,NOMLEX3TF,NOMLEX4TF,NOMLEX5TF,VERBLEX1TF,VERBLEX2TF,VERBLEX3TF,VERBLEX4TF,VERBLEX5TF,PARTLEX1TF,PARTLEX2TF,PARTLEX3TF,QUESTLEXTF,QUESTLE2TF,DEICTIC1TF,INTERJ1TF,INTERJ2TF,INTERJ3TF,COMPTF,BLENDTF,DIRTF,BEGINDIRTF,ENDDIRTF,ORIENTTF,BODYLOCTF,AUSLEXTF,REGLEXTF,RESTRICT,GENSIGN,MARGINAL,VARLEXTF,NTHTF,STHTF,NSWTF,VICTF,QLDTF,WATF,SATF,TASTF,CATHSCHTF,STATESCHTF,ANGCONGTF,CATHOLICTF,JWTF,OTHERELTF,PROPNAMETF,BODYACTTF,SENSEACTTF,MINDACTTF,ANIMALTF,LINGACTTF,METALANGTF,FEELINGSTF,JUDGETF,QUALITYTF,QUANTITYTF,PEOPLETF,COLORSTF,SHAPESTF,EDUCATETF,FOODSTF,DRINKSTF,COOKINGTF,GOVTF,HEALTHTF,MONEYTF,ORDERTF,MATHSTF,FURNTF,ROOMSTF,UTENSILSTF,GROOMTF,CLOTHESTF,BODYPARTTF,FAMILYTF,WORKTF,SEXTF,CITYTF,LOCDIRTF,SHOPTF,NATURETF,ARTSTF,SPORTSTF,HOBBIESTF,RELIGIONTF,AUTOSTF,TIMETF,DAYSTF,SEASONSTF,TRAVELTF,ONEHAND,TWOHAND,DOUBLEHND,ALTERNATE,DOMHNDSH,SUBHNDSH,LOCPRIM,LOCSECOND,SYM,PARA,DOMONLY,OPAQUETF,OBSCURETF,TRANSLTF,TRANSPTF,ASLLOANTF,BSLLOANTF,SALUTATION,DEAFNESS,LAW,TELECOMMUN,ENGTF1,ENGTF2,ENGTF3,ENGTF4,ENGTF5,ENGTF6,ENGTF7,ENGTF8,ENGTF9,ENGTF10,ENGTF11,ENGTF12,ANT1TF,ANT2TF,ANT3TF,CF1TF,CF2TF,CF3TF,SYN1TF,SYN2TF,SYN3TF,MATTERTF,DEICTIC1,DEICTIC2,DEICTIC3,DEICTIC4,DEICTIC2TF,DEICTIC3TF,DEICTIC4TF,COMP,BLEND,QUERIES,NOMLEX1,NOMLEX2,NOMLEX3,NOMLEX4,NOMLEX5,GENMEAN,INTERJ1,INTERJ2,INTERJ3,PARTLEX1,PARTLEX2,PARTLEX3,QUESTLEX,QUESTLEX2,ENGLISH1,ENGLISH2,ENGLISH3,ENGLISH4,ENGLISH5,ENGLISH6,ENGLISH7,ENGLISH8,ENGLISH9,ENGLISH10,ENGLISH11,ENGLISH12,VERBLEX1,VERBLEX2,VERBLEX3,VERBLEX4,VERBLEX5,IDGLOSS,ANT1,ANT2,ANT3,CF1,CF2,CF3,SYN1,SYN2,SYN3,OLDENTRY
1.0000000000000000e+00,1.0000000000000000e+00,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. A very large animal that lives in the sea and looks like a huge fish. English = whale.",,,,,,,,,,,,,,"whale",,,,,,,,,,,,,,,,,"whale.1",,,,,,,,,,"Popular explanation: the whale spurting from its breathing hole."
2.0000000000000000e+00,3.0000000000000000e+00,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,,,,,0,0,0,,,,"1. Something that produces light, particularly an electric bulb. English = light.",,,,,,,,,,,,,,"light","illuminate",,,,,,,,,,,"1. To shine light on to something. English = illuminate.","2. To turn on or switch on an electric light.",,,,"light.2","extinguish.1a","extinguish.light",,,,,"switch.1a","light.bulb","emit","Popular explanation: rays of light."
3.0000000000000000e+00,4.0000000000000000e+00,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,0,0,0,,,,"1. An electrical system connected to lights inside a deaf person's home that causes them to flash when the doorbell is pressed. English = flashing-light doorbell.",,,,,"The repeated flashing of a source of light or sound energy which is located above the signer's head, such as a light or a star, or any thing or any action which is directly or indirectly associated with this, particularly a flashing-light doorbell.",,,,,,,,,"doorbell","flashing-light doorbell",,,,,,,,,,,,,,,,"flashing.doorbell",,,,,,,"flashing-light.alarm","doorbell.1a",,"Popular explanation: a flashing light."
4.0000000000000000e+00,5.0000000000000000e+00,"1",0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,,0,0,0,,,,"1. The ball of fire in the sky that the Earth goes round, and that gives us heat and light. English = sun.","2. The light and heat that comes from the sun. English = sunshine, sun.",,,,,,,,,,,,,"sun","sunshine","sunny","shine","radiate",,,,,,,,"1. Of the weather, to have little or no clouds in the sky and to have plenty of sunshine. English = (be) sunny.","2. Of the sun, to give out heat and light, especially when that is not obstructed by clouds on earth. English = shine.","3. Of the sun, to give out heat and light in all directions, like a pattern of lines drawn from the centre of a circle to various points on its edge. English = radiate.",,,"sun",,,,"suntan.1","suntan.2",,"emit","clear.1a",,"Popular explanation: light and heat radiating from the sun."
5.0000000000000000e+00,6.0000000000000000e+00,"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. In the Christian religion, one of the three aspects of God, together with God the Father and God the Son. English = Holy Spirit.",,,,,,,,,,,,,,"Holy Spirit",,,,,,,,,,,,,,,,,"Holy Spirit",,,,,,,,,,"Popular explanation: the radiance of the Holy Spirit."
6.0000000000000000e+00,8.0000000000000000e+00,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,2.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,0,0,,,,"1. A car driven by someone whose job is to take you where you want to go in return for money. English = taxi.",,,,,,,,,,,,,,"taxi",,,,,,,,,,,,,,,,,"taxi.2a",,,,,,,,,,"Popular explanation: the roof light of a taxi."
7.0000000000000000e+00,9.0000000000000000e+00,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,2.0000000000000000e+00,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,,0,0,0,,,,"1. A Christian ceremony in which a baby is made a member of the Christian church by being anointed with water and is officially given his or her name. English = christening, (Catholic) baptism.",,,,,,,,,,,,,,"christening","baptism","christen","baptise","christened","baptised",,,,,,,"1. Of a baby, to make it a member of the Christian church by anointing it with water and officially giving it a name. English = christen, (Catholic) baptise.","2. Of a baby, to be made a member of the Christian church by being anointed with water and to be officially given his or her name. English = (be) christened, (Catholic) (be) baptised.",,,,"christen.1a",,,,"baptise.1a",,,,,,"Popular explanation: sprinkling water onto the forehead."
8.0000000000000000e+00,1.2000000000000000e+01,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,"forget",,,,,,,,,,,,"1. To be unable to think of something or how to do it, even though you knew it or knew how to do it in the past; to not remember something. English = forget.",,,,,"forget.2a",,,,,,,"forget.1","overlook",,"Popular explanation: something being released or something escaping from your mind."
9.0000000000000000e+00,1.3000000000000000e+01,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. The action or habit of often forgetting things. English = forgetfulness.",,,,,,,,,,,,,,"forgetfulness","forgetful","absent-minded",,,,,,,,,,"1. To often forget things. English = (be) forgetful, (be) absent-minded.",,,,,"forgetfulness","resolute",,,,,,,,,"Popular explanation: forgetting things repeatedly."
1.0000000000000000e+01,1.4000000000000000e+01,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0000000000000001e-01,0.0000000000000000e+00,3.0000000000000000e+00,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,"1. A group of people who represent a larger group or organisation and who make decisions or plans for that group or organisation. English = committee.",,,,,,,,,,,,,,"committee",,,,,,,,,,,,,,,,,"committee.1a",,,,,,,,,,
