ENGLISH,IDGLOSS,SN,SENSE,RECNUMB,TOPIC
"whale","whale.1",1.0000000000000000e+00," ",1.0000000000000000e+00,3
"light","light.2",3.0000000000000000e+00," ",2.0000000000000000e+00,20
"illuminate","light.2",3.0000000000000000e+00," ",2.0000000000000000e+00,20
"doorbell","flashing.doorbell",4.0000000000000000e+00," ",3.0000000000000000e+00,20
"flashing-light doorbell","flashing.doorbell",4.0000000000000000e+00," ",3.0000000000000000e+00,20
"sun","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"sunshine","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"sunny","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"shine","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"radiate","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"Holy Spirit","Holy Spirit",6.0000000000000000e+00,"2",5.0000000000000000e+00,42
"taxi","taxi.2a",8.0000000000000000e+00," ",6.0000000000000000e+00,50
"christening","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptism","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"christen","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptise","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"christened","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptised","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"forget","forget.2a",1.2000000000000000e+01," ",8.0000000000000000e+00,32
"forgetfulness","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"forgetful","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"absent-minded","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"committee","committee.1a",1.4000000000000000e+01," ",1.0000000000000000e+01,0
"opinion","opinion.1a",1.5000000000000000e+01," ",1.1000000000000000e+01,32
"enlightenment","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"enlightened","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"enlighten","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"remembrance","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recollection","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recall","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memory","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memorisation","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recollect","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"remember","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memorise","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"influence","influence.1",2.4000000000000000e+01," ",1.4000000000000000e+01,0
"brightness","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"bright","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"brighten","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"sticky-beak","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"curiosity","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nosy","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nosey","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"pry","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"curious","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nasty","nasty.person",3.1000000000000000e+01," ",1.7000000000000000e+01,36
"fun","fun",3.2000000000000000e+01," ",1.8000000000000000e+01,18
"oops","fun",3.2000000000000000e+01," ",1.8000000000000000e+01,18
"Hong Kong","Hong Kong",3.2100000000000001e+01," ",1.9000000000000000e+01,8
"traffic lights","traffic lights.1a",3.3000000000000000e+01," ",2.0000000000000000e+01,50
"tan","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"suntan","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"brown","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"tanned","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"sun-tanned","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"station","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"railway station","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"steam train","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"supermarket","supermarket",3.8000000000000000e+01," ",2.3000000000000000e+01,47
"smartness","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"intelligence","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"cleverness","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"smart","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"clever","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"bright","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"intelligent","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"comic","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"comic book","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"cartoon","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"orange","orange",4.4000000000000000e+01," ",2.6000000000000000e+01,10
"orange juice","orange juice",4.5000000000000000e+01," ",2.7000000000000000e+01,14
"excellence","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"magnificence","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"superb","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"excellent","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"splendid","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"exquisite","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"magnificent","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"food","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"meal","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"eat","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"dinner","dinner.2",5.1000000000000000e+01,"2",3.0000000000000000e+01,14
"breakfast","breakfast.1",5.2000000000000000e+01," ",3.1000000000000000e+01,14
"dining room","dining room",5.3000000000000000e+01," ",3.2000000000000000e+01,43
"tan","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"suntan","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"brown","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"tanned","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"sun-tanned","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"telltale","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"informer","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"dobber","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"blabbermouth","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"confess","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"tell tales","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"inform","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"dob","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"blab","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"confession","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"pimp","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"shout","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"yell","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"bark","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"blow","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"blow out","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"bullshit","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"rubbish","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"hate","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"loathe","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"yuk","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"evil","evil",6.5000000000000000e+01," ",3.7000000000000000e+01,42
"vomit","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"sick","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"throw up","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"love-bite","love-bite",6.7000000000000000e+01," ",3.9000000000000000e+01,1
"sago","sago",6.8000000000000000e+01," ",4.0000000000000000e+01,19
"pity","pity.1",6.9000000000000000e+01," ",4.1000000000000000e+01,18
"sorry","pity.1",6.9000000000000000e+01," ",4.1000000000000000e+01,18
"degree","degree",7.2000000000000000e+01," ",4.2000000000000000e+01,0
"evangelism","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"evangelical","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"evangelist","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"Europe","Europe",7.9000000000000000e+01," ",4.4000000000000000e+01,8
"European","Europe",7.9000000000000000e+01," ",4.4000000000000000e+01,8
"radiate","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"emit","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"illuminate","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"speaker","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"light","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"heater","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"flash","flash.1",8.2000000000000000e+01," ",4.6000000000000000e+01,0
"percentage","percent.1a",8.5000000000000000e+01," ",4.7000000000000000e+01,4
"per cent","percent.1a",8.5000000000000000e+01," ",4.7000000000000000e+01,4
"perfume","perfume.1a",8.6000000000000000e+01," ",4.8000000000000000e+01,25
"beads","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"beaded necklace","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"necklace","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"doctor","doctor.3",9.0000000000000000e+01," ",5.0000000000000000e+01,26
"Italy","Italy.1a",9.3000000000000000e+01,"1",5.1000000000000000e+01,8
"Italian","Italy.1a",9.3000000000000000e+01,"1",5.1000000000000000e+01,8
"migrant","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"immigrant","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"ethnic","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"flour","flour.1",1.0000000000000000e+02," ",5.3000000000000000e+01,11
"put","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"put away","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"deposit","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"put","place.1a",1.0400000000000000e+02," ",5.5000000000000000e+01,0
"place","place.1a",1.0400000000000000e+02," ",5.5000000000000000e+01,0
"something","some.1a",1.0800000000000000e+02," ",5.6000000000000000e+01,39
